Code,ID,Name,FV,ISIN,Industry,Marketcap
532371,TTML,TATA TELESERVICES (MAHARASHTRA) LTD,10,INE517B01013,Telecom - Cellular & Fixed line services,15322.72
521228,TATIAGLOB,TATIA GLOBAL VENNTURE LTD,1,INE083G01031,Residential- Commercial Projects,60.34
543321,TATVA,TATVA CHINTAN PHARMA CHEM LTD,10,INE0GK401011,Specialty Chemicals,2960.26
541228,TRL,TAYLORMADE RENEWABLES LTD,10,INE459Z01017,Industrial Products,524.64
504961,TATAYODOGA,TAYO ROLLS LTD,10,INE895C01011,Iron & Steel Products,96.92
512038,TCC,TCC CONCEPT LTD,10,INE887D01016,Trading & Distributors,977.36
532284,TCFCFINQ,TCFC FINANCE LTD,10,INE389D01013,Non Banking Financial Company (NBFC),70.94
540212,TCIEXP,TCI EXPRESS LTD,2,INE586V01016,Logistics Solution Provider,4267.9
532262,TCIIND,TCI INDUSTRIES LTD,10,INE920B01019,Diversified Commercial Services,117.93
524156,TCMLMTD,TCM LTD,10,INE034F01010,Commodity Chemicals,39.16
541700,TCNSBRANDS,TCNS CLOTHING CO. LTD,2,INE778U01029,Garments & Apparels,2485.7
523301,TCPLPACK,TCPL PACKAGING LTD,10,INE822C01015,Packaging,1977.79
533553,TDPOWERSYS,T D POWER SYSTEMS LTD,2,INE419M01027,Heavy Electrical Equipment,4524.25
539658,TEAMLEASE,TEAMLEASE SERVICES LTD,10,INE985S01024,Diversified Commercial Services,5624.12
533048,TPHQ,TEAMO PRODUCTIONS HQ LTD,1,INE065J01024,Civil Construction,108.51
532755,TECHM,TECH MAHINDRA LTD,5,INE669C01036,Computers - Software & Consulting,121337.83
526576,TECHIN,TECHINDIA NIRMAN LIMITED,10,INE778A01021,Residential- Commercial Projects,42.82
543991,TECHKGREEN,TECHKNOWGREEN SOLUTIONS LTD,10,INE0P4P01011,Consulting Services,158.54
542141,TECHNOE,TECHNO ELECTRIC & ENGINEERING COMPANY LTD,2,INE285K01026,Civil Construction,9000.75
532804,TIIL,TECHNOCRAFT INDUSTRIES (INDIA) LTD,10,INE545H01011,Iron & Steel Products,4965.58
509917,TECHCON,TECHNOJET CONSULTANTS LTD,10,INE881P01013,Consulting Services,1.06
543656,TECHNOPACK,TECHNOPACK POLYMERS LTD,10,INE0MXP01015,Plastic Products - Consumer,42.77
501421,TECHNVISN,TECHNVISION VENTURES LTD,10,INE314H01012,Software Products,1138.82
506680,TECILCHEM,TECIL CHEMICALS & HYDRO POWER LTD,10,INE014B01011,Commodity Chemicals,40.81
524204,TEEAI,TEESTA AGRO INDUSTRIES LTD,10,INE757D01011,Fertilizers,46.56
543413,TEGA,TEGA INDUSTRIES LTD,10,INE011K01018,Industrial Products,9083.43
540595,TEJASNET,TEJAS NETWORKS LTD,10,INE010J01012,Telecom - Equipment & Accessories,13365.59
531628,TEJASSVI,TEJASSVI AAHARAM LTD,10,INE173E01019,Other Textile Products,54.59
539428,TEJNAKSH,TEJNAKSH HEALTHCARE LTD,5,INE030T01027,Healthcare Service Provider,51.7
530595,TELECANOR,TELECANOR GLOBAL LTD,10,INE381G01013,Software Products,5.48
532315,TELESYS,TELESYS SOFTWARE LTD,10,INE042B01012,Software Products,19.16
532975,TELOGICA,TELOGICA LTD,5,INE778I01024,Telecom - Equipment & Accessories,48.24
533982,TERASOFT,TERA SOFTWARE LTD,10,INE482B01010,IT Enabled Services,64.99
530533,TERAI,TERAI TEA CO.LTD,10,INE390D01011,Tea & Coffee,63.8
506162,TERRAFORM,TERRAFORM MAGNUM LTD,10,INE122V01010,Other Financial Services,
512157,TERRAREAL,TERRAFORM REALSTATE LIMITED,10,INE123V01018,Diversified Commercial Services,
526638,TEXELIN,TEXEL INDUSTRIES LTD,10,INE594V01028,Plastic Products - Industrial,37.63
505400,TEXINFRA,TEXMACO INFRASTRUCTURE & HOLDINGS LTD,1,INE435C01024,Diversified Commercial Services,1262.67
533326,TEXRAIL,TEXMACO RAIL & ENGINEERING LTD,1,INE621L01012,Industrial Products,6782.95
